symbol;value
STK17B;1777
CDC14B;873
ZNF510;287
LRP2;6567
ZNF506;774
JMJD4;705
DUSP12;308
AACS;820
DELE1;2978
SLC13A1;261
CADPS2;1188
PCDHB4;189
PCDHA6;18
PCDHGA2;20
HSPB11;532
PHLPP1;466
ATP8B1;1176
IL12RB2;26
SMARCD3;438
WDR70;593
FYB1;2289
MPP4;7
STRADB;682
BZW1;2320
PGR;106
C1QTNF3;380
ME2;1329
C5orf22;704
CCNT2;1545
FAM135A;697
COL19A1;23
EPB41L3;1332
COBLL1;1607
DLG3;1385
KCNK2;302
SERTAD4;1003
TRAF5;873
MRPL22;863
GEMIN5;1016
OPRK1;0
NFE2L1;14971
SEMA5B;7987
GSK3B;1784
ITGB5;5960
ERC1;1984
XPO1;4314
LINC01587;24
RNF13;2653
TRPM3;34
PALB2;344
DOP1A;1238
LYRM2;1281
BCKDHB;727
KAT6A;1889
TUT7;527
ULK2;904
GRHL2;1
TNPO1;2689
PLOD1;9306
P2RX5;21
ITGAE;453
DIS3;1221
PIBF1;426
TDRD3;1180
AC000061.1;0
NUFIP1;219
PDS5B;1116
OXCT1;317
RRAGB;487
EPYC;3
CYLD;2307
SLC27A5;376
ZNF324;199
ZNF671;436
ZNF416;149
ZNF586;261
ZNF446;404
ZNF264;1452
RPS5;18053
FAT1;12264
YTHDC1;3118
CHMP2B;1149
SMAP2;1744
PPIE;2088
ZMPSTE24;2268
STARD7;4768
NOA1;664
REST;1553
HAL;8
SSH1;2533
GSTP1;10501
APLP2;27226
FAM234B;970
SLCO1A2;5
WBP11;2876
EIF3I;6778
NKAIN1;214
COL16A1;145
TXLNA;3060
APOB;374
NCOA1;1867
AGBL5;4181
EFR3B;113
KIF3C;385
RAB10;4228
GCKR;78
HADHA;7727
MAPRE3;940
CAD;1233
CD59;14686
CD82;1190
BCORL1;550
ATRX;2158
AK6;295
FCN1;91
MYNN;690
MECOM;1663
SCAMP1;1881
PREP;989
HACE1;574
SEH1L;1728
WDR47;497
WDFY1;1706
OVGP1;91
SLC25A24;1383
MAP3K4;827
PILRA;395
IGSF9;11
ABCB1;2528
ZNF213;554
AKR1B1;14369
CPNE3;2955
RRN3;1105
CTTN;6985
WNT11;5
MTIF2;995
