symbol;value
NAALAD2;9
JADE1;1220
SLC25A43;894
UBE2A;1984
FGFR1;959
FKBP6;3
SMC1B;3
FBLN1;249
ITGA8;1226
CST7;2047
MAP2;620
PIAS2;831
AMPH;6
ARAF;1959
MCCC1;1109
LAMP3;275
FAP;63
NEBL;3313
ACER3;922
UBE2K;2383
PIK3C3;1458
N4BP2;532
TIGAR;174
TULP3;914
SYNJ2;529
ADCY2;68
PPP2R5C;3045
PMS2P1;688
RBFOX1;0
GNB1;12369
HOXA9;430
EDN1;2765
MLLT10;977
ZCWPW1;268
ADCYAP1R1;17
FGF20;11
P2RY10;574
ITM2A;1969
NRDC;3468
VDAC3;2814
PCM1;4870
TNRC6C;544
CBFA2T2;788
BRINP1;4
ITCH;2163
PKD2L2;215
TP53INP2;3366
SDF4;3759
MYH7B;57
BPIFB2;2
TP73;49
TOLLIP;2558
UBE2D4;865
CLUL1;14
RUNX1T1;182
CDH17;2
THOC1;587
FKBP7;229
OSBPL6;46
SLC1A3;1195
XRCC5;8693
LXN;664
SP140;209
MKNK1;894
TNS1;19928
REXO1;889
SAR1A;3290
CDC14A;367
RAPGEF3;546
CEACAM1;1746
SENP1;655
DUSP13;0
CIC;2590
LIPE;277
FDFT1;2166
PAFAH1B3;294
OPHN1;218
AFM;10
KIF22;762
SCGN;1070
CARMIL1;751
PGM1;3730
DDX1;2917
DNM2;7150
EPB41L2;3117
RIMS1;1
MOXD1;168
STX7;3177
RABL2B;387
KEAP1;2228
DDX43;211
PTPRH;3
DCT;42
SLC35C2;1079
CRYBG3;597
EPHA6;1
SCTR;196
RFX3;331
RIF1;2001
RAB21;2472
SLC4A4;6912
SMARCA2;3691
RDH8;0
SESN1;1174
MID2;658
DNAAF6;0
COL5A3;594
SRCAP;120
PUM3;833
CPB2;1
CHRNA3;7
KCNN2;36
CNOT4;1132
PSEN1;2283
CPOX;302
CLDND1;1617
MOK;297
HSP90AA1;19423
RBL1;350
DLGAP4;1884
IGSF9B;159
CFHR2;0
CROCCP3;88
NDC80;133
AP4E1;427
RSBN1;1166
MAGI3;169
CXCL2;67
AFP;1
COL4A4;367
TCF7;408
OSTM1;1440
CDH7;0
IMPG2;22
PCNP;4599
EXD2;906
ARG2;1945
MEF2C;2981
PTPRC;6408
CACNA1S;1
PKP1;17
UBA5;3396
STK17B;2208
CDC14B;1616
ZNF510;497
LRP2;17367
ZNF506;644
JMJD4;843
DUSP12;272
AACS;463
DELE1;2832
SLC13A1;576
CADPS2;1545
PCDHB4;155
PCDHA6;6
PCDHGA2;61
HSPB11;449
PHLPP1;264
ATP8B1;477
IL12RB2;36
SMARCD3;174
WDR70;916
FYB1;3384
MPP4;2
STRADB;1028
BZW1;2984
PGR;57
C1QTNF3;86
ME2;2069
C5orf22;890
CCNT2;990
FAM135A;1028
COL19A1;15
EPB41L3;2851
COBLL1;1109
DLG3;1272
KCNK2;1
SERTAD4;116
TRAF5;797
MRPL22;941
GEMIN5;1234
OPRK1;0
NFE2L1;11294
SEMA5B;4264
GSK3B;1331
ITGB5;3617
ERC1;1693
XPO1;4590
LINC01587;88
RNF13;2955
TRPM3;600
PALB2;422
DOP1A;1465
LYRM2;1522
BCKDHB;539
KAT6A;2032
TUT7;1136
ULK2;708
GRHL2;7
TNPO1;3590
PLOD1;4899
P2RX5;15
ITGAE;195
DIS3;1766
PIBF1;339
TDRD3;888
AC000061.1;0
NUFIP1;302
PDS5B;1216
OXCT1;1258
RRAGB;307
