symbol;value
PCM1;6
TNRC6C;56
CBFA2T2;182
BRINP1;2
ITCH;39
PKD2L2;476
TP53INP2;63
SDF4;11
MYH7B;776
BPIFB2;0
TP73;152
TOLLIP;0
UBE2D4;106
CLUL1;17
RUNX1T1;11
CDH17;11
THOC1;249
FKBP7;15
OSBPL6;8
SLC1A3;21
XRCC5;22
LXN;654
SP140;46
MKNK1;1
TNS1;6
REXO1;14
SAR1A;12
CDC14A;1
RAPGEF3;117
CEACAM1;26
SENP1;7
DUSP13;0
CIC;40
LIPE;177
FDFT1;66
PAFAH1B3;42
OPHN1;0
AFM;0
KIF22;24
SCGN;0
CARMIL1;5
PGM1;36
DDX1;49
DNM2;1426
EPB41L2;5
RIMS1;0
MOXD1;1
STX7;7
RABL2B;16
KEAP1;12
DDX43;76
PTPRH;6
DCT;1
SLC35C2;11
CRYBG3;800
EPHA6;0
SCTR;5
RFX3;0
RIF1;59
RAB21;6
SLC4A4;0
SMARCA2;13
RDH8;0
SESN1;162
MID2;19
DNAAF6;0
COL5A3;3
SRCAP;14
PUM3;2
CPB2;68
CHRNA3;296
KCNN2;0
CNOT4;3
PSEN1;6
CPOX;3
CLDND1;3
MOK;48
HSP90AA1;98
RBL1;6
DLGAP4;18
IGSF9B;4
CFHR2;1
CROCCP3;97
NDC80;4
AP4E1;7
RSBN1;0
MAGI3;13
CXCL2;8
AFP;1
COL4A4;170
TCF7;1279
OSTM1;1
CDH7;0
IMPG2;1
PCNP;5
EXD2;1
ARG2;3144
MEF2C;3
PTPRC;13
CACNA1S;2
PKP1;24
UBA5;201
STK17B;4
CDC14B;175
ZNF510;0
LRP2;0
ZNF506;211
JMJD4;1544
DUSP12;53
AACS;10
DELE1;13
SLC13A1;1
CADPS2;3
PCDHB4;2
PCDHA6;27
PCDHGA2;2
HSPB11;0
PHLPP1;14
ATP8B1;206
IL12RB2;667
SMARCD3;345
WDR70;4
FYB1;7
MPP4;2
STRADB;156
BZW1;14
PGR;10
C1QTNF3;1
ME2;7
C5orf22;3
CCNT2;16
FAM135A;3
COL19A1;3
EPB41L3;2
COBLL1;14
DLG3;12
KCNK2;3
SERTAD4;3
TRAF5;12
MRPL22;2
GEMIN5;6
OPRK1;0
NFE2L1;43
SEMA5B;5
GSK3B;37
ITGB5;13
ERC1;47
XPO1;292
LINC01587;7
RNF13;244
TRPM3;2
PALB2;1
DOP1A;1454
LYRM2;68
BCKDHB;0
KAT6A;13
TUT7;22
ULK2;16
GRHL2;65
TNPO1;10
PLOD1;35
P2RX5;25
ITGAE;228
DIS3;508
PIBF1;1
TDRD3;13
AC000061.1;0
NUFIP1;0
PDS5B;1
OXCT1;3
RRAGB;4
EPYC;0
CYLD;2
SLC27A5;411
ZNF324;85
ZNF671;120
ZNF416;7
ZNF586;202
ZNF446;248
ZNF264;8
RPS5;48
FAT1;45
YTHDC1;16
CHMP2B;8
SMAP2;4
PPIE;129
ZMPSTE24;3
STARD7;44
NOA1;20
REST;466
HAL;0
SSH1;4
GSTP1;11
APLP2;87
FAM234B;0
SLCO1A2;43
WBP11;7
EIF3I;238
NKAIN1;3
COL16A1;97
TXLNA;51
APOB;0
NCOA1;1
AGBL5;3135
EFR3B;16
KIF3C;16
RAB10;18
GCKR;0
HADHA;45
MAPRE3;101
CAD;10
CD59;6
CD82;5
BCORL1;12
ATRX;22
AK6;1
FCN1;0
MYNN;1
MECOM;1
SCAMP1;25
PREP;4
HACE1;1
SEH1L;21
WDR47;0
WDFY1;0
OVGP1;0
SLC25A24;17
MAP3K4;11
PILRA;1
IGSF9;151
ABCB1;5
ZNF213;90
AKR1B1;4
CPNE3;4
RRN3;0
CTTN;51
WNT11;4
MTIF2;146
DDHD2;695
TTC39A;200
EPS15;17
ORC1;7
MGST2;42
CHERP;76
ATG16L1;0
USP40;66
POMGNT1;216
RAD54L;501
MAST2;1422
DNAJA1;18
B4GALT1;11
CHMP5;3
NFX1;15
AQP6;42
DIMT1;1151
IPO11;3
FOLH1;0
EIF2AK1;1376
NME8;1
EPDR1;2
SNX10;2
SEPHS1;3
MRPL28;3
HBQ1;6
ITPKC;19
CEACAM6;1
FAT2;55
RBM22;3
TMED2;18
ERO1B;195
ZFAND6;7
HSD17B2;55
TXLNG;120
PPEF1;0
LAT2;146
HUWE1;24
ZW10;1
ALG9;4
MYBPC2;14
NOX4;0
ACOX3;0
MTMR2;1631
PPP1R15A;21
HSD17B14;1
TRIP6;33
ACHE;45
FTL;55
SRRT;314
BAX;17
NLK;0
PIGS;3
ADAMTS2;17
TMPRSS11E;0
ATXN7L3;62
PGS1;7
PSMC5;267
UIMC1;1
CETP;3
MMP2;1
MT3;0
LPCAT2;4
GNAO1;48
OGFOD1;82
SH3BP2;10
NOP14;416
ADD1;87
L2HGDH;7
TXNDC16;0
RTRAF;33
NID2;231
GMCL1;4
SF3B2;29
KLHL42;7
GNAS;219
DNM1L;702
PTHLH;5
PHACTR3;26
ERGIC2;10
