gene;value
SIRT2;2321
ERLEC1;2160
PPP2R5B;688
PYGM;22
PAGE1;1
PITX1;2103
TRPC7;2
MAST4;1233
ADGRF5;713
SDK2;236
ADAM7;0
NUP133;1446
NUCKS1;9168
VPS35;3915
DNAJA2;1717
BCL3;4208
KCNAB2;1251
ABCC9;321
GAL;69
CLEC2D;170
FUNDC1;376
MAOB;165
RORA;364
DRD4;61
TGFBR3;374
PLA2G10;7
HES2;89
ATP1B3;2139
NEDD4;441
PIGB;445
MAPK6;1590
GNB5;890
RAB27A;676
HDHD5;1250
UFD1;2788
LRP6;1059
GUCY2C;46
SCT;44
PHRF1;1400
ELP1;1890
NUCB2;1173
PFN2;5437
PTPN3;1638
SPTB;243
DAPP1;115
FGF10;5
SLC44A1;6516
TMEM260;516
SMG6;1102
EXOC5;980
CLTCL1;174
FGF22;4
FSTL3;439
DGCR2;5106
RNF126;1303
MNT;1918
ZXDC;1324
JMJD6;777
POLB;697
ST6GALNAC1;166
WIPI1;870
FRMPD1;128
GBA2;1998
NDST1;8181
ASNS;45
AP3M2;933
CNGB1;24
ST6GALNAC2;1208
CHAT;41
PABPC1;162668
TESK2;232
CFAP20;984
CSNK2A2;2423
PTPN21;687
EIF2B3;680
CAMK2A;10
TCOF1;3900
CDC42;9653
OSBPL3;1293
EPHA8;3
SLC12A3;1
RAD18;1577
ATP2B1;2221
TRPM5;9
NCK2;3104
MAP4K4;3649
MGAT4A;1099
RPL31;22366
WDR1;14742
SNX13;535
MS4A12;0
ARHGAP10;156
RPS6KA2;1839
ING3;387
VASH1;1773
LMCD1;1825
BUD23;3459
SEL1L;2656
TRIP13;1222
ATP6AP1;7622
TCF3;3384
TRIB2;2314
DAZAP1;3803
MBD3;1420
PRLH;1
HLTF;1735
FAM50A;2260
FAM3A;1509
CPSF1;8048
MYO3B;84
CYBRD1;4576
CDH19;0
PDCD2;1324
SLC6A15;340
RDH11;1096
PRKACA;6474
ADGRL1;2871
SPP2;9
ACTN1;10002
ZFYVE26;742
RPS6KA6;271
EPN2;1862
PTPN18;3606
LIMS2;1014
ASIC4;3
SPEG;490
LNX1;699
ALDH3A2;2718
TFRC;17264
SREBF1;4243
TRPC5;0
AFF4;1800
UBE2D1;909
MPP5;729
RHOBTB1;467
SMC1A;3605
HSD17B10;2541
MARK2;4557
HMMR;777
CHFR;983
TRHDE;55
P4HA2;1609
FCGR2B;591
NFATC3;873
TRNT1;1101
ACADVL;2730
STK10;1007
FBXW11;1375
ACAP1;176
CRMP1;1593
EVC;1093
DERL2;771
SIDT1;31
NDE1;1581
IRAG1;635
TMEM38A;870
AP1M1;2196
PVR;714
XRCC1;805
SCARB1;2287
CYP2W1;4
MCM2;4039
MOV10L1;38
PANX2;347
SELENOO;1903
TP63;72
ALPK1;510
LLGL2;2326
PDE8A;743
CLCN4;225
NLE1;712
SDHA;423
SMARCE1;229
FNDC8;64
GSDMB;217
KDM5A;1765
ADAM11;56
PPP2R3A;823
FERMT2;1635
ABCB11;1
DHRS9;19
CD5L;1
PTGS2;75
IGF2BP2;743
MAP3K13;3301
ST6GAL1;5158
TBX21;11
VDAC1P1;17
FRY;532
PICALM;4099
NSF;1235
GLI2;684
CLASP1;1928
MRPS34;1975
NOTCH3;7813
CLNS1A;3820
PPP2R2C;223
TEAD2;1427
EED;343
CDHR2;16
SNCB;2
TSG101;3529
NCBP3;1337
ATP2A3;161
CA12;1198
MGLL;2717
NTN4;1137
BCS1L;839
NUAK1;1222
DPP8;1121
SLC24A1;468
ZNF532;4750
SCARF1;280
LMAN1;8258
HACD3;4778
IPCEF1;52
ZZEF1;1415
NOX3;0
ENO1;59766
SLC12A1;2
MYDGF;2270
ANO8;1036
TUBE1;221
ARHGEF10L;1324
TXK;36
WSCD2;52
KCNQ2;12
TACR2;61
ACTR6;860
TIPIN;288
SRI;7830
EIF4G3;2554
NUP37;1042
SEMA3A;529
GTSE1;1312
SEMA3C;1373
TTC38;890
ACAT1;922
GRAMD4;1674
CELSR1;8498
WNT8B;20
ZNF638;1740
SLC25A40;1181
TIMM21;592
ADD2;1051
FGF4;0
RASAL2;1169
VPS9D1;1214
ZNF37A;699
MARK3;2923
SLC25A3;20562
FNDC3B;2589
FOSL2;15099
CACNG5;0
CACNG4;3712
FRYL;1000
TMEM131;1846
FSCN1;6993
ACTB;141637
MOCOS;300
PLD1;196
ATP12A;29
WDR62;1000
DLG1;3773
RAB7A;17511
BCAP29;13
SEC31B;107
SART3;1853
ARHGAP15;131
TUBA3D;23
PAX2;45
EXOSC7;608
KIFAP3;1146
MKRN2;3547
MCM6;2119
REXO2;963
RBM7;1007
RBMS2;2568
BAZ2A;6245
PTPN23;6388
MLH1;1151
UNG;3158
FMO4;240
KLHL20;678
RGS11;248
SLC46A1;1517
PLXNA2;887
SPAG5;663
ANKRD13A;1914
TPD52;1052
ACACB;481
TRAF4;2497
PAG1;318
GPATCH1;631
ICAM3;726
NT5C2;2967
MCAM;3520
GPC4;1135
MBNL3;689
CAMSAP3;2528
RAP1GAP;1532
XAB2;3460
ARHGEF1;1638
STXBP2;1833
MAP2K7;2491
NMRK2;0
DGKD;780
CTTNBP2;272
ACTL6B;2
RARB;243
TOP2B;4622
TM9SF3;7357
NFKB2;2612
UBE2T;850
PPP1R12B;532
DNAJC10;1936
GTF3C1;2249
IL4R;1127
USP33;1297
PAK3;20
CAPN6;54
DCX;0
SNRPA;3235
SPAG6;3
EXOSC5;1004
DYNC1I2;1633
APBB1IP;654
LRCH4;555
FAM76B;413
SIRT6;510
TYR;1
POLD3;764
ACTN2;1
CAPZB;12880
GPR137B;721
NAALAD2;23
JADE1;649
SLC25A43;659
UBE2A;2722
FGFR1;4246
FKBP6;0
SMC1B;99
FBLN1;4755
ITGA8;94
CST7;186
MAP2;342
PIAS2;1667
AMPH;136
ARAF;3621
MCCC1;1815
LAMP3;169
FAP;1666
NEBL;669
ACER3;728
UBE2K;4188
PIK3C3;1693
N4BP2;358
TIGAR;152
TULP3;1540
SYNJ2;960
ADCY2;20
PPP2R5C;5591
PMS2P1;1408
RBFOX1;266
GNB1;16192
HOXA9;1
EDN1;338
MLLT10;1320
ZCWPW1;282
ADCYAP1R1;492
FGF20;2
P2RY10;30
ITM2A;131
NRDC;3877
VDAC3;3961
PCM1;1704
TNRC6C;858
CBFA2T2;2131
BRINP1;90
ITCH;2492
PKD2L2;128
TP53INP2;1944
SDF4;4996
MYH7B;130
BPIFB2;2
TP73;207
TOLLIP;1348
UBE2D4;1136
CLUL1;112
RUNX1T1;144
CDH17;3
THOC1;454
FKBP7;536
OSBPL6;80
SLC1A3;1719
XRCC5;13434
LXN;1045
SP140;25
MKNK1;1251
TNS1;9010
REXO1;1260
SAR1A;3127
CDC14A;281
RAPGEF3;2971
CEACAM1;58
SENP1;1094
DUSP13;9
CIC;3703
LIPE;154
FDFT1;3613
PAFAH1B3;1093
OPHN1;318
AFM;0
KIF22;1733
SCGN;1
CARMIL1;647
PGM1;3282
DDX1;2882
DNM2;8985
EPB41L2;1981
RIMS1;8
MOXD1;376
STX7;1347
RABL2B;946
KEAP1;3109
DDX43;119
PTPRH;34
DCT;7
SLC35C2;5182
CRYBG3;1202
EPHA6;14
SCTR;0
RFX3;377
RIF1;1796
RAB21;2798
SLC4A4;41
SMARCA2;1654
RDH8;0
SESN1;362
MID2;399
DNAAF6;7
COL5A3;2756
SRCAP;191
PUM3;625
CPB2;14
CHRNA3;43
KCNN2;26
CNOT4;1304
PSEN1;1960
CPOX;333
CLDND1;1846
MOK;412
HSP90AA1;45950
RBL1;529
DLGAP4;6380
IGSF9B;77
CFHR2;0
CROCCP3;98
NDC80;941
AP4E1;530
RSBN1;490
MAGI3;247
CXCL2;33
AFP;1
COL4A4;11
TCF7;1375
OSTM1;628
CDH7;4
IMPG2;12
PCNP;4544
EXD2;832
ARG2;647
MEF2C;699
PTPRC;802
CACNA1S;0
PKP1;86
UBA5;868
STK17B;1219
CDC14B;1330
ZNF510;672
LRP2;11
ZNF506;1217
JMJD4;760
DUSP12;497
AACS;2060
DELE1;2133
SLC13A1;0
CADPS2;281
PCDHB4;51
PCDHA6;115
PCDHGA2;56
HSPB11;856
PHLPP1;911
ATP8B1;2787
IL12RB2;17
SMARCD3;17502
WDR70;1063
FYB1;650
MPP4;5
STRADB;282
BZW1;2239
PGR;202
C1QTNF3;491
ME2;2474
C5orf22;1620
CCNT2;862
FAM135A;363
COL19A1;2
EPB41L3;453
COBLL1;774
DLG3;1482
KCNK2;63
SERTAD4;371
TRAF5;533
MRPL22;1593
GEMIN5;1559
OPRK1;159
NFE2L1;6117
SEMA5B;406
GSK3B;2983
ITGB5;19519
ERC1;2514
XPO1;5856
LINC01587;20
RNF13;1304
TRPM3;10
PALB2;434
DOP1A;841
LYRM2;2303
BCKDHB;1343
KAT6A;3475
TUT7;1096
ULK2;610
GRHL2;1439
TNPO1;2034
PLOD1;4230
P2RX5;48
ITGAE;331
DIS3;1645
PIBF1;654
TDRD3;566
AC000061.1;0
NUFIP1;538
PDS5B;1093
OXCT1;720
RRAGB;416
EPYC;583
CYLD;655
SLC27A5;323
ZNF324;230
ZNF671;159
ZNF416;193
ZNF586;270
ZNF446;378
ZNF264;956
RPS5;32144
FAT1;2545
YTHDC1;1980
CHMP2B;2160
SMAP2;1153
PPIE;1583
ZMPSTE24;2610
STARD7;7017
NOA1;3421
REST;4434
HAL;12
SSH1;2249
GSTP1;18488
APLP2;14379
FAM234B;145
SLCO1A2;1
WBP11;4334
